text,label_num
Hey how are you doing today?,0
Let's meet at 5 pm.,0
Are you coming to the party?,0
Call me when you reach home.,0
Don't forget the meeting tomorrow.,0
Congratulations! You won a free lottery ticket.,1
Claim your free prize now!!!,1
Win cash now by clicking this link.,1
You have been selected for a free gift.,1
Urgent! Your account has been compromised.,1
Good morning, have a nice day!,0
Can you send me the notes?,0
Free entry in 2 lakh prize draw!,1
Get cheap loans instantly.,1
See you at the gym later.,0
Dinner at my place tonight?,0
Exclusive offer just for you!!!,1
Limited time deal, buy now!,1
Are we still on for tomorrow?,0
Your OTP is 456789.,0
